program_id,coverage_part,coverage_name,state,operation,layer,links_to,copybooks_used,path
GPNDIV01,PR,Premises and Operations Liability,ND,INQUIRE,VSAM-ACCESS,,GPNDC001,programs/PR/gpndiv01.cbl
GPNDUL01,PR,Premises and Operations Liability,ND,UPDATE,BUSINESS-LOGIC,GPNDUD01,GPNDC001,programs/PR/gpndul01.cbl
GPNDUD01,PR,Premises and Operations Liability,ND,UPDATE,DB2-ACCESS,GPNDUV01,GPNDC001,programs/PR/gpndud01.cbl
GPNDUV01,PR,Premises and Operations Liability,ND,UPDATE,VSAM-ACCESS,,GPNDC001,programs/PR/gpnduv01.cbl
GPNDDL01,PR,Premises and Operations Liability,ND,DELETE,BUSINESS-LOGIC,GPNDDD01,GPNDC001,programs/PR/gpnddl01.cbl
GPNDDD01,PR,Premises and Operations Liability,ND,DELETE,DB2-ACCESS,GPNDDV01,GPNDC001,programs/PR/gpnddd01.cbl
GPNDDV01,PR,Premises and Operations Liability,ND,DELETE,VSAM-ACCESS,,GPNDC001,programs/PR/gpnddv01.cbl
GPNDRL01,PR,Premises and Operations Liability,ND,RATE,BUSINESS-LOGIC,GPNDRD01,GPNDC001,programs/PR/gpndrl01.cbl
GPNDRD01,PR,Premises and Operations Liability,ND,RATE,DB2-ACCESS,,GPNDC001,programs/PR/gpndrd01.cbl
GPNDRV01,PR,Premises and Operations Liability,ND,RATE,VSAM-ACCESS,,GPNDC001,programs/PR/gpndrv01.cbl
GPOHAL01,PR,Premises and Operations Liability,OH,ADD,BUSINESS-LOGIC,GPOHAD01,GPOHC001,programs/PR/gpohal01.cbl
GPOHAD01,PR,Premises and Operations Liability,OH,ADD,DB2-ACCESS,GPOHAV01,GPOHC001,programs/PR/gpohad01.cbl
GPOHAV01,PR,Premises and Operations Liability,OH,ADD,VSAM-ACCESS,,GPOHC001,programs/PR/gpohav01.cbl
GPOHIL01,PR,Premises and Operations Liability,OH,INQUIRE,BUSINESS-LOGIC,GPOHID01,GPOHC001,programs/PR/gpohil01.cbl
GPOHID01,PR,Premises and Operations Liability,OH,INQUIRE,DB2-ACCESS,,GPOHC001,programs/PR/gpohid01.cbl
GPOHIV01,PR,Premises and Operations Liability,OH,INQUIRE,VSAM-ACCESS,,GPOHC001,programs/PR/gpohiv01.cbl
GPOHUL01,PR,Premises and Operations Liability,OH,UPDATE,BUSINESS-LOGIC,GPOHUD01,GPOHC001,programs/PR/gpohul01.cbl
GPOHUD01,PR,Premises and Operations Liability,OH,UPDATE,DB2-ACCESS,GPOHUV01,GPOHC001,programs/PR/gpohud01.cbl
GPOHUV01,PR,Premises and Operations Liability,OH,UPDATE,VSAM-ACCESS,,GPOHC001,programs/PR/gpohuv01.cbl
GPOHDL01,PR,Premises and Operations Liability,OH,DELETE,BUSINESS-LOGIC,GPOHDD01,GPOHC001,programs/PR/gpohdl01.cbl
GPOHDD01,PR,Premises and Operations Liability,OH,DELETE,DB2-ACCESS,GPOHDV01,GPOHC001,programs/PR/gpohdd01.cbl
GPOHDV01,PR,Premises and Operations Liability,OH,DELETE,VSAM-ACCESS,,GPOHC001,programs/PR/gpohdv01.cbl
GPOHRL01,PR,Premises and Operations Liability,OH,RATE,BUSINESS-LOGIC,GPOHRD01,GPOHC001,programs/PR/gpohrl01.cbl
GPOHRD01,PR,Premises and Operations Liability,OH,RATE,DB2-ACCESS,,GPOHC001,programs/PR/gpohrd01.cbl
GPOHRV01,PR,Premises and Operations Liability,OH,RATE,VSAM-ACCESS,,GPOHC001,programs/PR/gpohrv01.cbl
GPOKAL01,PR,Premises and Operations Liability,OK,ADD,BUSINESS-LOGIC,GPOKAD01,GPOKC001,programs/PR/gpokal01.cbl
GPOKAD01,PR,Premises and Operations Liability,OK,ADD,DB2-ACCESS,GPOKAV01,GPOKC001,programs/PR/gpokad01.cbl
GPOKAV01,PR,Premises and Operations Liability,OK,ADD,VSAM-ACCESS,,GPOKC001,programs/PR/gpokav01.cbl
GPOKIL01,PR,Premises and Operations Liability,OK,INQUIRE,BUSINESS-LOGIC,GPOKID01,GPOKC001,programs/PR/gpokil01.cbl
GPOKID01,PR,Premises and Operations Liability,OK,INQUIRE,DB2-ACCESS,,GPOKC001,programs/PR/gpokid01.cbl
GPOKIV01,PR,Premises and Operations Liability,OK,INQUIRE,VSAM-ACCESS,,GPOKC001,programs/PR/gpokiv01.cbl
GPOKUL01,PR,Premises and Operations Liability,OK,UPDATE,BUSINESS-LOGIC,GPOKUD01,GPOKC001,programs/PR/gpokul01.cbl
GPOKUD01,PR,Premises and Operations Liability,OK,UPDATE,DB2-ACCESS,GPOKUV01,GPOKC001,programs/PR/gpokud01.cbl
GPOKUV01,PR,Premises and Operations Liability,OK,UPDATE,VSAM-ACCESS,,GPOKC001,programs/PR/gpokuv01.cbl
GPOKDL01,PR,Premises and Operations Liability,OK,DELETE,BUSINESS-LOGIC,GPOKDD01,GPOKC001,programs/PR/gpokdl01.cbl
GPOKDD01,PR,Premises and Operations Liability,OK,DELETE,DB2-ACCESS,GPOKDV01,GPOKC001,programs/PR/gpokdd01.cbl
GPOKDV01,PR,Premises and Operations Liability,OK,DELETE,VSAM-ACCESS,,GPOKC001,programs/PR/gpokdv01.cbl
GPOKRL01,PR,Premises and Operations Liability,OK,RATE,BUSINESS-LOGIC,GPOKRD01,GPOKC001,programs/PR/gpokrl01.cbl
GPOKRD01,PR,Premises and Operations Liability,OK,RATE,DB2-ACCESS,,GPOKC001,programs/PR/gpokrd01.cbl
GPOKRV01,PR,Premises and Operations Liability,OK,RATE,VSAM-ACCESS,,GPOKC001,programs/PR/gpokrv01.cbl
GPORAL01,PR,Premises and Operations Liability,OR,ADD,BUSINESS-LOGIC,GPORAD01,GPORC001,programs/PR/gporal01.cbl
GPORAD01,PR,Premises and Operations Liability,OR,ADD,DB2-ACCESS,GPORAV01,GPORC001,programs/PR/gporad01.cbl
GPORAV01,PR,Premises and Operations Liability,OR,ADD,VSAM-ACCESS,,GPORC001,programs/PR/gporav01.cbl
GPORIL01,PR,Premises and Operations Liability,OR,INQUIRE,BUSINESS-LOGIC,GPORID01,GPORC001,programs/PR/gporil01.cbl
GPORID01,PR,Premises and Operations Liability,OR,INQUIRE,DB2-ACCESS,,GPORC001,programs/PR/gporid01.cbl
GPORIV01,PR,Premises and Operations Liability,OR,INQUIRE,VSAM-ACCESS,,GPORC001,programs/PR/gporiv01.cbl
GPORUL01,PR,Premises and Operations Liability,OR,UPDATE,BUSINESS-LOGIC,GPORUD01,GPORC001,programs/PR/gporul01.cbl
GPORUD01,PR,Premises and Operations Liability,OR,UPDATE,DB2-ACCESS,GPORUV01,GPORC001,programs/PR/gporud01.cbl
GPORUV01,PR,Premises and Operations Liability,OR,UPDATE,VSAM-ACCESS,,GPORC001,programs/PR/gporuv01.cbl
GPORDL01,PR,Premises and Operations Liability,OR,DELETE,BUSINESS-LOGIC,GPORDD01,GPORC001,programs/PR/gpordl01.cbl
GPORDD01,PR,Premises and Operations Liability,OR,DELETE,DB2-ACCESS,GPORDV01,GPORC001,programs/PR/gpordd01.cbl
GPORDV01,PR,Premises and Operations Liability,OR,DELETE,VSAM-ACCESS,,GPORC001,programs/PR/gpordv01.cbl
GPORRL01,PR,Premises and Operations Liability,OR,RATE,BUSINESS-LOGIC,GPORRD01,GPORC001,programs/PR/gporrl01.cbl
GPORRD01,PR,Premises and Operations Liability,OR,RATE,DB2-ACCESS,,GPORC001,programs/PR/gporrd01.cbl
GPORRV01,PR,Premises and Operations Liability,OR,RATE,VSAM-ACCESS,,GPORC001,programs/PR/gporrv01.cbl
GPPAAL01,PR,Premises and Operations Liability,PA,ADD,BUSINESS-LOGIC,GPPAAD01,GPPAC001,programs/PR/gppaal01.cbl
GPPAAD01,PR,Premises and Operations Liability,PA,ADD,DB2-ACCESS,GPPAAV01,GPPAC001,programs/PR/gppaad01.cbl
GPPAAV01,PR,Premises and Operations Liability,PA,ADD,VSAM-ACCESS,,GPPAC001,programs/PR/gppaav01.cbl
GPPAIL01,PR,Premises and Operations Liability,PA,INQUIRE,BUSINESS-LOGIC,GPPAID01,GPPAC001,programs/PR/gppail01.cbl
GPPAID01,PR,Premises and Operations Liability,PA,INQUIRE,DB2-ACCESS,,GPPAC001,programs/PR/gppaid01.cbl
GPPAIV01,PR,Premises and Operations Liability,PA,INQUIRE,VSAM-ACCESS,,GPPAC001,programs/PR/gppaiv01.cbl
GPPAUL01,PR,Premises and Operations Liability,PA,UPDATE,BUSINESS-LOGIC,GPPAUD01,GPPAC001,programs/PR/gppaul01.cbl
GPPAUD01,PR,Premises and Operations Liability,PA,UPDATE,DB2-ACCESS,GPPAUV01,GPPAC001,programs/PR/gppaud01.cbl
GPPAUV01,PR,Premises and Operations Liability,PA,UPDATE,VSAM-ACCESS,,GPPAC001,programs/PR/gppauv01.cbl
GPPADL01,PR,Premises and Operations Liability,PA,DELETE,BUSINESS-LOGIC,GPPADD01,GPPAC001,programs/PR/gppadl01.cbl
GPPADD01,PR,Premises and Operations Liability,PA,DELETE,DB2-ACCESS,GPPADV01,GPPAC001,programs/PR/gppadd01.cbl
GPPADV01,PR,Premises and Operations Liability,PA,DELETE,VSAM-ACCESS,,GPPAC001,programs/PR/gppadv01.cbl
GPPARL01,PR,Premises and Operations Liability,PA,RATE,BUSINESS-LOGIC,GPPARD01,GPPAC001,programs/PR/gpparl01.cbl
GPPARD01,PR,Premises and Operations Liability,PA,RATE,DB2-ACCESS,,GPPAC001,programs/PR/gppard01.cbl
GPPARV01,PR,Premises and Operations Liability,PA,RATE,VSAM-ACCESS,,GPPAC001,programs/PR/gpparv01.cbl
GPRIAL01,PR,Premises and Operations Liability,RI,ADD,BUSINESS-LOGIC,GPRIAD01,GPRIC001,programs/PR/gprial01.cbl
GPRIAD01,PR,Premises and Operations Liability,RI,ADD,DB2-ACCESS,GPRIAV01,GPRIC001,programs/PR/gpriad01.cbl
GPRIAV01,PR,Premises and Operations Liability,RI,ADD,VSAM-ACCESS,,GPRIC001,programs/PR/gpriav01.cbl
GPRIIL01,PR,Premises and Operations Liability,RI,INQUIRE,BUSINESS-LOGIC,GPRIID01,GPRIC001,programs/PR/gpriil01.cbl
GPRIID01,PR,Premises and Operations Liability,RI,INQUIRE,DB2-ACCESS,,GPRIC001,programs/PR/gpriid01.cbl
GPRIIV01,PR,Premises and Operations Liability,RI,INQUIRE,VSAM-ACCESS,,GPRIC001,programs/PR/gpriiv01.cbl
GPRIUL01,PR,Premises and Operations Liability,RI,UPDATE,BUSINESS-LOGIC,GPRIUD01,GPRIC001,programs/PR/gpriul01.cbl
GPRIUD01,PR,Premises and Operations Liability,RI,UPDATE,DB2-ACCESS,GPRIUV01,GPRIC001,programs/PR/gpriud01.cbl
GPRIUV01,PR,Premises and Operations Liability,RI,UPDATE,VSAM-ACCESS,,GPRIC001,programs/PR/gpriuv01.cbl
GPRIDL01,PR,Premises and Operations Liability,RI,DELETE,BUSINESS-LOGIC,GPRIDD01,GPRIC001,programs/PR/gpridl01.cbl
GPRIDD01,PR,Premises and Operations Liability,RI,DELETE,DB2-ACCESS,GPRIDV01,GPRIC001,programs/PR/gpridd01.cbl
GPRIDV01,PR,Premises and Operations Liability,RI,DELETE,VSAM-ACCESS,,GPRIC001,programs/PR/gpridv01.cbl
GPRIRL01,PR,Premises and Operations Liability,RI,RATE,BUSINESS-LOGIC,GPRIRD01,GPRIC001,programs/PR/gprirl01.cbl
GPRIRD01,PR,Premises and Operations Liability,RI,RATE,DB2-ACCESS,,GPRIC001,programs/PR/gprird01.cbl
GPRIRV01,PR,Premises and Operations Liability,RI,RATE,VSAM-ACCESS,,GPRIC001,programs/PR/gprirv01.cbl
GPSCAL01,PR,Premises and Operations Liability,SC,ADD,BUSINESS-LOGIC,GPSCAD01,GPSCC001,programs/PR/gpscal01.cbl
GPSCAD01,PR,Premises and Operations Liability,SC,ADD,DB2-ACCESS,GPSCAV01,GPSCC001,programs/PR/gpscad01.cbl
GPSCAV01,PR,Premises and Operations Liability,SC,ADD,VSAM-ACCESS,,GPSCC001,programs/PR/gpscav01.cbl
GPSCIL01,PR,Premises and Operations Liability,SC,INQUIRE,BUSINESS-LOGIC,GPSCID01,GPSCC001,programs/PR/gpscil01.cbl
GPSCID01,PR,Premises and Operations Liability,SC,INQUIRE,DB2-ACCESS,,GPSCC001,programs/PR/gpscid01.cbl
GPSCIV01,PR,Premises and Operations Liability,SC,INQUIRE,VSAM-ACCESS,,GPSCC001,programs/PR/gpsciv01.cbl
GPSCUL01,PR,Premises and Operations Liability,SC,UPDATE,BUSINESS-LOGIC,GPSCUD01,GPSCC001,programs/PR/gpscul01.cbl
GPSCUD01,PR,Premises and Operations Liability,SC,UPDATE,DB2-ACCESS,GPSCUV01,GPSCC001,programs/PR/gpscud01.cbl
GPSCUV01,PR,Premises and Operations Liability,SC,UPDATE,VSAM-ACCESS,,GPSCC001,programs/PR/gpscuv01.cbl
GPSCDL01,PR,Premises and Operations Liability,SC,DELETE,BUSINESS-LOGIC,GPSCDD01,GPSCC001,programs/PR/gpscdl01.cbl
GPSCDD01,PR,Premises and Operations Liability,SC,DELETE,DB2-ACCESS,GPSCDV01,GPSCC001,programs/PR/gpscdd01.cbl
GPSCDV01,PR,Premises and Operations Liability,SC,DELETE,VSAM-ACCESS,,GPSCC001,programs/PR/gpscdv01.cbl
GPSCRL01,PR,Premises and Operations Liability,SC,RATE,BUSINESS-LOGIC,GPSCRD01,GPSCC001,programs/PR/gpscrl01.cbl
GPSCRD01,PR,Premises and Operations Liability,SC,RATE,DB2-ACCESS,,GPSCC001,programs/PR/gpscrd01.cbl
GPSCRV01,PR,Premises and Operations Liability,SC,RATE,VSAM-ACCESS,,GPSCC001,programs/PR/gpscrv01.cbl
GPSDAL01,PR,Premises and Operations Liability,SD,ADD,BUSINESS-LOGIC,GPSDAD01,GPSDC001,programs/PR/gpsdal01.cbl
GPSDAD01,PR,Premises and Operations Liability,SD,ADD,DB2-ACCESS,GPSDAV01,GPSDC001,programs/PR/gpsdad01.cbl
GPSDAV01,PR,Premises and Operations Liability,SD,ADD,VSAM-ACCESS,,GPSDC001,programs/PR/gpsdav01.cbl
GPSDIL01,PR,Premises and Operations Liability,SD,INQUIRE,BUSINESS-LOGIC,GPSDID01,GPSDC001,programs/PR/gpsdil01.cbl
GPSDID01,PR,Premises and Operations Liability,SD,INQUIRE,DB2-ACCESS,,GPSDC001,programs/PR/gpsdid01.cbl
GPSDIV01,PR,Premises and Operations Liability,SD,INQUIRE,VSAM-ACCESS,,GPSDC001,programs/PR/gpsdiv01.cbl
GPSDUL01,PR,Premises and Operations Liability,SD,UPDATE,BUSINESS-LOGIC,GPSDUD01,GPSDC001,programs/PR/gpsdul01.cbl
GPSDUD01,PR,Premises and Operations Liability,SD,UPDATE,DB2-ACCESS,GPSDUV01,GPSDC001,programs/PR/gpsdud01.cbl
GPSDUV01,PR,Premises and Operations Liability,SD,UPDATE,VSAM-ACCESS,,GPSDC001,programs/PR/gpsduv01.cbl
GPSDDL01,PR,Premises and Operations Liability,SD,DELETE,BUSINESS-LOGIC,GPSDDD01,GPSDC001,programs/PR/gpsddl01.cbl
GPSDDD01,PR,Premises and Operations Liability,SD,DELETE,DB2-ACCESS,GPSDDV01,GPSDC001,programs/PR/gpsddd01.cbl
GPSDDV01,PR,Premises and Operations Liability,SD,DELETE,VSAM-ACCESS,,GPSDC001,programs/PR/gpsddv01.cbl
GPSDRL01,PR,Premises and Operations Liability,SD,RATE,BUSINESS-LOGIC,GPSDRD01,GPSDC001,programs/PR/gpsdrl01.cbl
GPSDRD01,PR,Premises and Operations Liability,SD,RATE,DB2-ACCESS,,GPSDC001,programs/PR/gpsdrd01.cbl
GPSDRV01,PR,Premises and Operations Liability,SD,RATE,VSAM-ACCESS,,GPSDC001,programs/PR/gpsdrv01.cbl
GPTNAL01,PR,Premises and Operations Liability,TN,ADD,BUSINESS-LOGIC,GPTNAD01,GPTNC001,programs/PR/gptnal01.cbl
GPTNAD01,PR,Premises and Operations Liability,TN,ADD,DB2-ACCESS,GPTNAV01,GPTNC001,programs/PR/gptnad01.cbl
GPTNAV01,PR,Premises and Operations Liability,TN,ADD,VSAM-ACCESS,,GPTNC001,programs/PR/gptnav01.cbl
GPTNIL01,PR,Premises and Operations Liability,TN,INQUIRE,BUSINESS-LOGIC,GPTNID01,GPTNC001,programs/PR/gptnil01.cbl
GPTNID01,PR,Premises and Operations Liability,TN,INQUIRE,DB2-ACCESS,,GPTNC001,programs/PR/gptnid01.cbl
GPTNIV01,PR,Premises and Operations Liability,TN,INQUIRE,VSAM-ACCESS,,GPTNC001,programs/PR/gptniv01.cbl
GPTNUL01,PR,Premises and Operations Liability,TN,UPDATE,BUSINESS-LOGIC,GPTNUD01,GPTNC001,programs/PR/gptnul01.cbl
GPTNUD01,PR,Premises and Operations Liability,TN,UPDATE,DB2-ACCESS,GPTNUV01,GPTNC001,programs/PR/gptnud01.cbl
GPTNUV01,PR,Premises and Operations Liability,TN,UPDATE,VSAM-ACCESS,,GPTNC001,programs/PR/gptnuv01.cbl
GPTNDL01,PR,Premises and Operations Liability,TN,DELETE,BUSINESS-LOGIC,GPTNDD01,GPTNC001,programs/PR/gptndl01.cbl
GPTNDD01,PR,Premises and Operations Liability,TN,DELETE,DB2-ACCESS,GPTNDV01,GPTNC001,programs/PR/gptndd01.cbl
GPTNDV01,PR,Premises and Operations Liability,TN,DELETE,VSAM-ACCESS,,GPTNC001,programs/PR/gptndv01.cbl
GPTNRL01,PR,Premises and Operations Liability,TN,RATE,BUSINESS-LOGIC,GPTNRD01,GPTNC001,programs/PR/gptnrl01.cbl
GPTNRD01,PR,Premises and Operations Liability,TN,RATE,DB2-ACCESS,,GPTNC001,programs/PR/gptnrd01.cbl
GPTNRV01,PR,Premises and Operations Liability,TN,RATE,VSAM-ACCESS,,GPTNC001,programs/PR/gptnrv01.cbl
GPTXAL01,PR,Premises and Operations Liability,TX,ADD,BUSINESS-LOGIC,GPTXAD01,GPTXC001,programs/PR/gptxal01.cbl
GPTXAD01,PR,Premises and Operations Liability,TX,ADD,DB2-ACCESS,GPTXAV01,GPTXC001,programs/PR/gptxad01.cbl
GPTXAV01,PR,Premises and Operations Liability,TX,ADD,VSAM-ACCESS,,GPTXC001,programs/PR/gptxav01.cbl
GPTXIL01,PR,Premises and Operations Liability,TX,INQUIRE,BUSINESS-LOGIC,GPTXID01,GPTXC001,programs/PR/gptxil01.cbl
GPTXID01,PR,Premises and Operations Liability,TX,INQUIRE,DB2-ACCESS,,GPTXC001,programs/PR/gptxid01.cbl
GPTXIV01,PR,Premises and Operations Liability,TX,INQUIRE,VSAM-ACCESS,,GPTXC001,programs/PR/gptxiv01.cbl
GPTXUL01,PR,Premises and Operations Liability,TX,UPDATE,BUSINESS-LOGIC,GPTXUD01,GPTXC001,programs/PR/gptxul01.cbl
GPTXUD01,PR,Premises and Operations Liability,TX,UPDATE,DB2-ACCESS,GPTXUV01,GPTXC001,programs/PR/gptxud01.cbl
GPTXUV01,PR,Premises and Operations Liability,TX,UPDATE,VSAM-ACCESS,,GPTXC001,programs/PR/gptxuv01.cbl
GPTXDL01,PR,Premises and Operations Liability,TX,DELETE,BUSINESS-LOGIC,GPTXDD01,GPTXC001,programs/PR/gptxdl01.cbl
GPTXDD01,PR,Premises and Operations Liability,TX,DELETE,DB2-ACCESS,GPTXDV01,GPTXC001,programs/PR/gptxdd01.cbl
GPTXDV01,PR,Premises and Operations Liability,TX,DELETE,VSAM-ACCESS,,GPTXC001,programs/PR/gptxdv01.cbl
GPTXRL01,PR,Premises and Operations Liability,TX,RATE,BUSINESS-LOGIC,GPTXRD01,GPTXC001,programs/PR/gptxrl01.cbl
GPTXRD01,PR,Premises and Operations Liability,TX,RATE,DB2-ACCESS,,GPTXC001,programs/PR/gptxrd01.cbl
GPTXRV01,PR,Premises and Operations Liability,TX,RATE,VSAM-ACCESS,,GPTXC001,programs/PR/gptxrv01.cbl
GPUTAL01,PR,Premises and Operations Liability,UT,ADD,BUSINESS-LOGIC,GPUTAD01,GPUTC001,programs/PR/gputal01.cbl
GPUTAD01,PR,Premises and Operations Liability,UT,ADD,DB2-ACCESS,GPUTAV01,GPUTC001,programs/PR/gputad01.cbl
GPUTAV01,PR,Premises and Operations Liability,UT,ADD,VSAM-ACCESS,,GPUTC001,programs/PR/gputav01.cbl
GPUTIL01,PR,Premises and Operations Liability,UT,INQUIRE,BUSINESS-LOGIC,GPUTID01,GPUTC001,programs/PR/gputil01.cbl
GPUTID01,PR,Premises and Operations Liability,UT,INQUIRE,DB2-ACCESS,,GPUTC001,programs/PR/gputid01.cbl
GPUTIV01,PR,Premises and Operations Liability,UT,INQUIRE,VSAM-ACCESS,,GPUTC001,programs/PR/gputiv01.cbl
GPUTUL01,PR,Premises and Operations Liability,UT,UPDATE,BUSINESS-LOGIC,GPUTUD01,GPUTC001,programs/PR/gputul01.cbl
GPUTUD01,PR,Premises and Operations Liability,UT,UPDATE,DB2-ACCESS,GPUTUV01,GPUTC001,programs/PR/gputud01.cbl
GPUTUV01,PR,Premises and Operations Liability,UT,UPDATE,VSAM-ACCESS,,GPUTC001,programs/PR/gputuv01.cbl
GPUTDL01,PR,Premises and Operations Liability,UT,DELETE,BUSINESS-LOGIC,GPUTDD01,GPUTC001,programs/PR/gputdl01.cbl
GPUTDD01,PR,Premises and Operations Liability,UT,DELETE,DB2-ACCESS,GPUTDV01,GPUTC001,programs/PR/gputdd01.cbl
GPUTDV01,PR,Premises and Operations Liability,UT,DELETE,VSAM-ACCESS,,GPUTC001,programs/PR/gputdv01.cbl
GPUTRL01,PR,Premises and Operations Liability,UT,RATE,BUSINESS-LOGIC,GPUTRD01,GPUTC001,programs/PR/gputrl01.cbl
GPUTRD01,PR,Premises and Operations Liability,UT,RATE,DB2-ACCESS,,GPUTC001,programs/PR/gputrd01.cbl
GPUTRV01,PR,Premises and Operations Liability,UT,RATE,VSAM-ACCESS,,GPUTC001,programs/PR/gputrv01.cbl
GPVTAL01,PR,Premises and Operations Liability,VT,ADD,BUSINESS-LOGIC,GPVTAD01,GPVTC001,programs/PR/gpvtal01.cbl
GPVTAD01,PR,Premises and Operations Liability,VT,ADD,DB2-ACCESS,GPVTAV01,GPVTC001,programs/PR/gpvtad01.cbl
GPVTAV01,PR,Premises and Operations Liability,VT,ADD,VSAM-ACCESS,,GPVTC001,programs/PR/gpvtav01.cbl
GPVTIL01,PR,Premises and Operations Liability,VT,INQUIRE,BUSINESS-LOGIC,GPVTID01,GPVTC001,programs/PR/gpvtil01.cbl
GPVTID01,PR,Premises and Operations Liability,VT,INQUIRE,DB2-ACCESS,,GPVTC001,programs/PR/gpvtid01.cbl
GPVTIV01,PR,Premises and Operations Liability,VT,INQUIRE,VSAM-ACCESS,,GPVTC001,programs/PR/gpvtiv01.cbl
GPVTUL01,PR,Premises and Operations Liability,VT,UPDATE,BUSINESS-LOGIC,GPVTUD01,GPVTC001,programs/PR/gpvtul01.cbl
GPVTUD01,PR,Premises and Operations Liability,VT,UPDATE,DB2-ACCESS,GPVTUV01,GPVTC001,programs/PR/gpvtud01.cbl
GPVTUV01,PR,Premises and Operations Liability,VT,UPDATE,VSAM-ACCESS,,GPVTC001,programs/PR/gpvtuv01.cbl
GPVTDL01,PR,Premises and Operations Liability,VT,DELETE,BUSINESS-LOGIC,GPVTDD01,GPVTC001,programs/PR/gpvtdl01.cbl
GPVTDD01,PR,Premises and Operations Liability,VT,DELETE,DB2-ACCESS,GPVTDV01,GPVTC001,programs/PR/gpvtdd01.cbl
GPVTDV01,PR,Premises and Operations Liability,VT,DELETE,VSAM-ACCESS,,GPVTC001,programs/PR/gpvtdv01.cbl
GPVTRL01,PR,Premises and Operations Liability,VT,RATE,BUSINESS-LOGIC,GPVTRD01,GPVTC001,programs/PR/gpvtrl01.cbl
GPVTRD01,PR,Premises and Operations Liability,VT,RATE,DB2-ACCESS,,GPVTC001,programs/PR/gpvtrd01.cbl
GPVTRV01,PR,Premises and Operations Liability,VT,RATE,VSAM-ACCESS,,GPVTC001,programs/PR/gpvtrv01.cbl
GPVAAL01,PR,Premises and Operations Liability,VA,ADD,BUSINESS-LOGIC,GPVAAD01,GPVAC001,programs/PR/gpvaal01.cbl
GPVAAD01,PR,Premises and Operations Liability,VA,ADD,DB2-ACCESS,GPVAAV01,GPVAC001,programs/PR/gpvaad01.cbl
GPVAAV01,PR,Premises and Operations Liability,VA,ADD,VSAM-ACCESS,,GPVAC001,programs/PR/gpvaav01.cbl
GPVAIL01,PR,Premises and Operations Liability,VA,INQUIRE,BUSINESS-LOGIC,GPVAID01,GPVAC001,programs/PR/gpvail01.cbl
GPVAID01,PR,Premises and Operations Liability,VA,INQUIRE,DB2-ACCESS,,GPVAC001,programs/PR/gpvaid01.cbl
GPVAIV01,PR,Premises and Operations Liability,VA,INQUIRE,VSAM-ACCESS,,GPVAC001,programs/PR/gpvaiv01.cbl
GPVAUL01,PR,Premises and Operations Liability,VA,UPDATE,BUSINESS-LOGIC,GPVAUD01,GPVAC001,programs/PR/gpvaul01.cbl
GPVAUD01,PR,Premises and Operations Liability,VA,UPDATE,DB2-ACCESS,GPVAUV01,GPVAC001,programs/PR/gpvaud01.cbl
GPVAUV01,PR,Premises and Operations Liability,VA,UPDATE,VSAM-ACCESS,,GPVAC001,programs/PR/gpvauv01.cbl
GPVADL01,PR,Premises and Operations Liability,VA,DELETE,BUSINESS-LOGIC,GPVADD01,GPVAC001,programs/PR/gpvadl01.cbl
GPVADD01,PR,Premises and Operations Liability,VA,DELETE,DB2-ACCESS,GPVADV01,GPVAC001,programs/PR/gpvadd01.cbl
GPVADV01,PR,Premises and Operations Liability,VA,DELETE,VSAM-ACCESS,,GPVAC001,programs/PR/gpvadv01.cbl
GPVARL01,PR,Premises and Operations Liability,VA,RATE,BUSINESS-LOGIC,GPVARD01,GPVAC001,programs/PR/gpvarl01.cbl
GPVARD01,PR,Premises and Operations Liability,VA,RATE,DB2-ACCESS,,GPVAC001,programs/PR/gpvard01.cbl
GPVARV01,PR,Premises and Operations Liability,VA,RATE,VSAM-ACCESS,,GPVAC001,programs/PR/gpvarv01.cbl
GPWAAL01,PR,Premises and Operations Liability,WA,ADD,BUSINESS-LOGIC,GPWAAD01,GPWAC001,programs/PR/gpwaal01.cbl
GPWAAD01,PR,Premises and Operations Liability,WA,ADD,DB2-ACCESS,GPWAAV01,GPWAC001,programs/PR/gpwaad01.cbl
GPWAAV01,PR,Premises and Operations Liability,WA,ADD,VSAM-ACCESS,,GPWAC001,programs/PR/gpwaav01.cbl
GPWAIL01,PR,Premises and Operations Liability,WA,INQUIRE,BUSINESS-LOGIC,GPWAID01,GPWAC001,programs/PR/gpwail01.cbl
GPWAID01,PR,Premises and Operations Liability,WA,INQUIRE,DB2-ACCESS,,GPWAC001,programs/PR/gpwaid01.cbl
GPWAIV01,PR,Premises and Operations Liability,WA,INQUIRE,VSAM-ACCESS,,GPWAC001,programs/PR/gpwaiv01.cbl
GPWAUL01,PR,Premises and Operations Liability,WA,UPDATE,BUSINESS-LOGIC,GPWAUD01,GPWAC001,programs/PR/gpwaul01.cbl
GPWAUD01,PR,Premises and Operations Liability,WA,UPDATE,DB2-ACCESS,GPWAUV01,GPWAC001,programs/PR/gpwaud01.cbl
GPWAUV01,PR,Premises and Operations Liability,WA,UPDATE,VSAM-ACCESS,,GPWAC001,programs/PR/gpwauv01.cbl
GPWADL01,PR,Premises and Operations Liability,WA,DELETE,BUSINESS-LOGIC,GPWADD01,GPWAC001,programs/PR/gpwadl01.cbl
GPWADD01,PR,Premises and Operations Liability,WA,DELETE,DB2-ACCESS,GPWADV01,GPWAC001,programs/PR/gpwadd01.cbl
